title,combined
Copshop,"on the run from a lethal assassin, a wily con artist devises a scheme to hide out inside a small-town police station-but when the hitman turns up at the precinct, an unsuspecting rookie cop finds herself caught in the crosshairs. joecarnahan action thriller"
The Protégé,"rescued as a child by the legendary assassin moody, anna is the world's most skilled contract killer. however, when moody is brutally killed, she vows revenge for the man who taught her everything she knows. martincampbell action thriller"
C'mon C'mon,"when his sister asks him to look after her son, a radio journalist embarks on a cross-country trip with his energetic nephew to show him life away from los angeles. mikemills drama"
Cherry,"cherry drifts from college dropout to army medic in iraq - anchored only by his true love, emily. but after returning from the war with ptsd, his life spirals into drugs and crime as he struggles to find his place in the world. anthonyrusso,joerusso biography crime drama"
Willy's Wonderland,"a quiet drifter is tricked into a janitorial job at the now condemned willy's wonderland. the mundane tasks suddenly become an all-out fight for survival against wave after wave of demonic animatronics. fists fly, kicks land, titans clash -- and only one side will make it out alive. kevinlewis action comedy horror"
Things Heard & Seen,"an artist relocates to the hudson valley and begins to suspect that her marriage has a sinister darkness, one that rivals her new home's history. sharispringerberman,robertpulcini drama horror mystery"
Wrong Turn,"friends hiking the appalachian trail are confronted by 'the foundation', a community of people who have lived in the mountains for hundreds of years. mikep.nelson horror thriller"
Munich: The Edge of War,"a british diplomat travels to munich in the run-up to world war ii, where a former classmate of his from oxford is also en route, but is working for the german government. christianschwochow biography drama history"
Lamb,a childless couple discovers a mysterious newborn on their farm in iceland. valdimarjóhannsson drama fantasy horror
Sweet Girl,a devastated husband vows to bring justice to the people responsible for his wife's death while protecting the only family he has left: his daughter. brianandrewmendoza action drama thriller
Jolt,a bouncer with a slightly murderous anger-management problem that she controls with the help of an electrode-lined vest she uses to shock herself back to normalcy whenever she gets homicidal. tanyawexler action comedy crime
Parallel Mothers,the story of two mothers who bond in unexpected way after giving birth the same day. pedroalmodóvar drama
Old Henry,"an action western about a farmer who takes in an injured man with a satchel of cash. when a posse comes for the money, he must decide who to trust. defending a siege, he reveals a gunslinging talent calling his true identity into question. potsyponciroli action drama western"
Operation Mincemeat,"during wwii, two intelligence officers use a corpse and false papers to outwit german troops. johnmadden drama war"
The Tender Bar,a boy growing up on long island seeks out father figures among the patrons at his uncle's bar. georgeclooney drama
Minnal Murali,"an unusual event creates a lightning which in turns gives superhuman abilies to an ambitious tailor ,whose responsibility is now to protect his home village from the evil plans of the antagonist. basiljoseph action comedy drama"
Wish Dragon,determined teen din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities. chrisappelhans animation adventure comedy
Cry Macho,"a one-time rodeo star and washed-up horse breeder takes a job to bring a man's young son home and away from his alcoholic mom. on their journey, the horseman finds redemption through teaching the boy what it means to be a good man. clinteastwood drama"
Thalaivi,a biopic on the late tamil nadu chief minister j jayalalithaa. a.l.vijay biography drama
To All the Boys: Always and Forever,lara jean's senior year of high school takes center stage when she returns from a family trip to korea and considers her college plans--with and without peter. michaelfimognari comedy drama romance
The Fallout,"high schooler vada navigates the emotional fallout she experiences in the wake of a school tragedy. relationships with her family, friends and view of the world are forever altered. meganpark drama"
Red Rocket,"mikey saber is a washed-up porn star who returns to his small texas hometown, not that anyone really wants him back. seanbaker comedy drama"
The Vault,follows a genius engineering graduate who is interested in the bank of spain's safe. jaumebalagueró action adventure thriller
Haseen Dillruba,"under investigation as a suspect in her husband's murder, a wife reveals details of their thorny marriage that seem to only further blur the truth. vinilmathew crime drama mystery"
Jujutsu Kaisen 0,"yuta okkotsu, a high schooler who gains control of an extremely powerful cursed spirit and gets enrolled in the tokyo prefectural jujutsu high school by jujutsu sorcerers to help him control his power and keep an eye on him. seong-hupark animation action fantasy"
Yes Day,a mom and dad who usually say no decide to say yes to their kids' wildest requests with a few ground rules on a whirlwind day of fun and adventure. miguelarteta comedy family
A Hero,"rahim is in prison because of a debt he was unable to repay. during a two-day leave, he tries to convince his creditor to withdraw his complaint against the payment of part of the sum. but things don't go as planned. asgharfarhadi drama"
Chehre,"an 80-year-old man with a penchant for real life games in a story about rights and wrongs. it's a story about the decisions one makes in their lifetime and the fact that every decision has its repercussions, hearing and judgment. rumijaffery drama mystery thriller"
Moxie,"inspired by her mom's rebellious past and a confident new friend, a shy 16-year-old publishes an anonymous zine calling out sexism at her school. amypoehler comedy drama music"
Beckett,"following a tragic car accident in greece, an american tourist finds himself at the center of a dangerous political conspiracy and on the run for his life. ferdinandocitofilomarino action crime drama"
Space Sweepers,"set in the year 2092 and follows the crew of a space junk collector ship called the victory. when they discover a humanoid robot named dorothy that's known to be a weapon of mass destruction, they get involved in a risky business deal. sung-heejo action adventure drama"
Atrangi Re,"a tamil boy meets a girl from bihar, what follows is a love story for the ages. a non-linear narrative of two romances running in parallel from different timelines. aanandl.rai comedy drama fantasy"
He's All That,"a teenage girl sets out to give a nebbish classmate the ultimate high school makeover. an updated remake of the 1999 film, 'she's all that.' markwaters comedy romance"
Vacation Friends,"an uptight couple makes friends with a rowdy couple while on vacation in mexico, but their friendship takes an awkward turn when they get back home. claytarver adventure comedy"
Bhoot Police,two brothers whose job is to hunt and eradicate ghosts for money is assigned a project in a remote village pavankirpalani comedy horror
The Voyeurs,"pippa and thomas move into their dream apartment, they notice that their windows look directly into the apartment opposite, this will set in motion a chain of events that will lead to disaster. michaelmohan drama mystery thriller"
Bad Trip,this mix of a scripted buddy comedy road movie and a real hidden camera prank show follows the outrageous misadventures of two buds stuck in a rut who embark on a cross-country road trip to nyc. the storyline sets up shocking real pranks. kitaosakurai comedy
The Unholy,"a hearing-impaired girl is visited by the virgin mary and can suddenly hear, speak, and heal the sick. as people flock to witness her miracles, terrifying events unfold. are they the work of the virgin mary or something much more sinister? evanspiliotopoulos drama horror mystery"
The Map of Tiny Perfect Things,"two teens live the same day repeatedly, enabling them to create a map of things to remember. iansamuels comedy fantasy romance"
The Trip,"a dysfunctional couple head to a remote cabin to reconnect, but each has intentions to kill the other. before they can carry out their plans, unexpected visitors arrive and they face a greater danger. tommywirkola action comedy horror"
